frame.time_epoch,frame.len,tcp.analysis.acks_frame,tcp.analysis.lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.out_of_order
"20.240165000","74",,,,,,
"20.240165000","74","6",,,,,
"20.720515000","82","7",,,,,
"20.720515000","70",,,,,,
"20.720655000","70",,,,,,
"20.720655000","70",,,,,,
"20.720795000","70",,,,,,
"20.721967000","586",,,,,,
"20.721967000","62","13",,,,,
"20.724971000","1502",,,,,,
"20.724971000","62","15",,,,,
"20.727975000","1502",,,,,,
"20.727975000","62","17",,,,,
"20.730979000","1502",,,,,,
"20.730979000","62","19",,,,,
"20.733983000","1502",,,,,,
"20.733983000","62","21",,,,,
"20.736987000","1502",,,,,,
"20.736987000","62","23",,,,,
"20.739991000","1502",,,,,,
"20.739991000","62","25",,,,,
"20.742995000","1502",,,,,,
"20.742995000","62","27",,,,,
"20.745999000","1502",,,,,,
"20.745999000","62","29",,,,,
"20.749003000","1502",,,,,,
"20.749003000","62","31",,,,,
"21.052197000","78",,,,,,
"21.052353000","78",,,,,,
"21.102183000","78",,,,,,
"21.102339000","78",,,,,,
"21.102495000","78",,,,,,
"21.205470000","1502",,,,,,
"21.205470000","62","38",,,,,
"21.208474000","1502",,,,,,
"21.208474000","62","40",,,,,
"21.208622000","74",,,,,,
"21.208622000","78","42",,,,,
"21.208770000","74",,,,,,
"21.208778000","78","44",,,,,
"21.211774000","1502",,,,,,
"21.211774000","62","46",,,,,
"21.214778000","1502",,,,,,
"21.214778000","62","48",,,,,
"21.217782000","1502",,,,,,
"21.217782000","62","50",,,,,
"21.220786000","1502",,,,,,
"21.220786000","62","52",,,,,
"21.223790000","1502",,,,,,
"21.223790000","62","54",,,,,
"21.226794000","1502",,,,,,
"21.226794000","62","56",,,,,
"21.229798000","1502",,,,,,
"21.229798000","62","58",,,,,
"21.232802000","1502",,,,,,
"21.232802000","62","60",,,,,
"21.235806000","1502",,,,,,
"21.235806000","62","62",,,,,
"21.238810000","1502",,,,,,
"21.238810000","62","64",,,,,
"21.241814000","1502",,,,,,
"21.241814000","62","66",,,,,
"21.244818000","1502",,,,,,
"21.244818000","62","68",,,,,
"21.247822000","1502",,,,,,
"21.247822000","62","70",,,,,
"21.250826000","1502",,,,,,
"21.250826000","62","72",,,,,
"21.253830000","1502",,,,,,
"21.253830000","62","74",,,,,
"21.256834000","1502",,,,,,
"21.256834000","62","76",,,,,
"21.259838000","1502",,,,,,
"21.259838000","62","78",,,,,
"21.262842000","1502",,,,,,
"21.262842000","62","80",,,,,
"21.382625000","62",,,,,,
"21.482438000","62",,,,,,
"21.482594000","62",,,,,,
"21.482750000","62",,,,,,
"21.688973000","1502",,,,,,
"21.688973000","62","86",,,,,
"21.691977000","1502",,,,,,
"21.691977000","62","88",,,,,
"21.694981000","1502",,,,,,
"21.694981000","62","90",,,,,
"21.697985000","1502",,,,,,
"21.697985000","62","92",,,,,
"21.698141000","78","43",,,,,
"21.698141000","62",,,,,,
"21.701145000","1502",,,,,,
"21.701145000","62","96",,,,,
"21.704149000","1502",,,,,,
"21.704149000","62","98",,,,,
"21.707153000","1502",,,,,,
"21.707153000","62","100",,,,,
"21.710157000","1502",,,,,,
"21.710157000","62","102",,,,,
"21.713161000","1502",,,,,,
"21.713161000","62","104",,,,,
"21.716128000","74",,,,,,
"21.716165000","1502",,,,,,
"21.716276000","62","107",,,,,
"21.719169000","1502",,,,,,
"21.719169000","62","109",,,,,
"21.720634000","82",,,,,,
"21.722136000","82",,,,,,
"21.722173000","1502",,,,,,
"21.722300000","62","113",,,,,
"21.723638000","82",,,,,,
"21.725140000","82",,,,,,
"21.725177000","1502",,,,,,
"21.725304000","62","117",,,,,
"21.726642000","82",,,,,,
"21.728181000","1502",,,,,,
"21.728181000","62","120",,,,,
"21.731185000","1502",,,,,,
"21.731185000","62","122",,,,,
"21.734189000","1502",,,,,,
"21.734189000","62","124",,,,,
"21.737193000","1502",,,,,,
"21.737193000","62","126",,,,,
"21.740197000","1502",,,,,,
"21.740197000","62","128",,,,,
"21.743201000","1502",,,,,,
"21.743201000","62","130",,,,,
"21.746205000","1502",,,,,,
"21.746205000","62","132",,,,,
"21.749209000","1502",,,,,,
"21.749209000","62","134",,,,,
"21.752213000","1502",,,,,,
"21.752213000","62","136",,,,,
"21.755217000","1502",,,,,,
"21.755217000","62","138",,,,,
"21.758221000","1502",,,,,,
"21.758221000","62","140",,,,,
"21.761225000","1502",,,,,,
"21.761225000","62","142",,,,,
"21.764229000","1502",,,,,,
"21.764229000","62","144",,,,,
"21.767233000","1502",,,,,,
"21.767233000","62","146",,,,,
"21.770237000","1502",,,,,,
"21.770237000","62","148",,,,,
"21.773241000","1502",,,,,,
"21.773241000","62","150",,,,,
"21.776245000","1502",,,,,,
"21.776245000","62","152",,,,,
"21.779249000","1502",,,,,,
"21.779249000","62","154",,,,,
"21.782253000","1502",,,,,,
"21.782253000","62","156",,,,,
"21.785257000","1502",,,,,,
"21.785257000","62","158",,,,,
"21.788261000","1502",,,,,,
"21.788261000","62","160",,,,,
"21.791265000","1502",,,,,,
"21.791265000","62","162",,,,,
"21.794269000","1502",,,,,,
"21.794269000","62","164",,,,,
"21.797273000","1502",,,,,,
"21.797273000","62","166",,,,,
"21.800277000","1502",,,,,,
"21.800277000","62","168",,,,,
"21.803281000","1502",,,,,,
"21.803281000","62","170",,,,,
"21.806285000","1502",,,,,,
"21.806285000","62","172",,,,,
"21.864139000","62",,,,,,
"21.865341000","62",,,,,,
"21.866543000","62",,,,,,
"21.867744000","62",,,,,,
"21.868946000","62",,,,,,
"21.870147000","62",,,,,,
"21.871349000","62",,,,,,
"21.872551000","62",,,,,,
"21.874954000","74",,,,,,
"21.876155000","62",,,,,,
"21.879760000","74",,,,,,
"21.880962000","74",,,,,,
"21.882163000","74",,,,,,
"21.884567000","82",,,,,,
"21.885768000","82",,,,,,
"21.888171000","62",,,,,,
"21.889373000","62",,,,,,
"21.890575000","62",,,,,,
"21.891776000","62",,,,,,
"21.892978000","62",,,,,,
"21.894179000","62",,,,,,
"21.895381000","62",,,,,,
"21.897784000","74",,,,,,
"21.898986000","74",,,,,,
"22.050091000","78",,,,,,
"22.052000000","78",,,"1",,,
"22.052680000","74",,,,,,
"22.055684000","74",,,,,,
"22.057186000","62",,,,,,
"22.172477000","1502",,,,,,
"22.172477000","62","203",,,,,
"22.175481000","1502",,,,,,
"22.175481000","62","205",,,,,
"22.178485000","1502",,,,,,
"22.178485000","62","207",,,,,
"22.181489000","1502",,,,,,
"22.181489000","62","209",,,,,
"22.184493000","1502",,,,,,
"22.184493000","62","211",,,,,
"22.187497000","1502",,,,,,
"22.187497000","62","213",,,,,
"22.190501000","1502",,,,,,
"22.190501000","62","215",,,,,
"22.193505000","1502",,,,,,
"22.193505000","62","217",,,,,
"22.196509000","1502",,,,,,
"22.196509000","62","219",,,,,
"22.199513000","1502",,,,,,
"22.199513000","62","221",,,,,
"22.202517000","1502",,,,,,
"22.202517000","62","223",,,,,
"22.205521000","1502",,,,,,
"22.205521000","62","225",,,,,
"22.208000000","78",,,"1",,,
"22.208525000","1502",,,,,,
"22.208525000","62","228",,,,,
"22.211529000","1502",,,,,,
"22.211529000","62","230",,,,,
"22.214533000","1502",,,,,,
"22.214533000","62","232",,,,,
"22.217537000","1502",,,,,,
"22.217537000","62","234",,,,,
"22.220541000","1502",,,,,,
"22.220541000","62","236",,,,,
"22.223545000","1502",,,,,,
"22.223545000","62","238",,,,,
"22.226549000","1502",,,,,,
"22.226549000","62","240",,,,,
"22.229553000","1502",,,,,,
"22.229553000","62","242",,,,,
"22.232557000","1502",,,,,,
"22.232557000","62","244",,,,,
"22.235561000","1502",,,,,,
"22.235561000","62","246",,,,,
"22.238565000","1502",,,,,,
"22.238565000","62","248",,,,,
"22.241569000","1502",,,,,,
"22.241569000","62","250",,,,,
"22.244573000","1502",,,,,,
"22.244573000","62","252",,,,,
"22.247042000","82",,,,,,
"22.247577000","1502",,,,,,
"22.247577000","62","255",,,,,
"22.248244000","82",,,,,,
"22.249445000","82",,,,,,
"22.250581000","1502",,,,,,
"22.250581000","62","259",,,,,
"22.250705000","82",,,,,,
"22.251848000","82",,,,,,
"22.253050000","82",,,,,,
"22.253585000","1502",,,,,,
"22.253585000","62","264",,,,,
"22.254252000","82",,,,,,
"22.255453000","82",,,,,,
"22.256589000","1502",,,,,,
"22.256589000","62","268",,,,,
"22.256713000","82",,,,,,
"22.257856000","82",,,,,,
"22.259058000","82",,,,,,
"22.259593000","1502",,,,,,
"22.259593000","62","273",,,,,
"22.260260000","82",,,,,,
"22.261461000","82",,,,,,
"22.262597000","1502",,,,,,
"22.262597000","62","277",,,,,
"22.262721000","82",,,,,,
"22.263864000","82",,,,,,
"22.265066000","82",,,,,,
"22.265601000","1502",,,,,,
"22.265601000","62","282",,,,,
"22.265749000","74",,,"1",,,
"22.265749000","78","284",,"1",,,
"22.266268000","82",,,,,,
