frame.time_epoch,frame.len,tcp.analysis.acks_frame,tcp.analysis.lost_segment,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.out_of_order
"21.052197000","74",,,,,,
"21.052271000","74",,,,,,
"21.382625000","78",,,,,,
"21.716128000","1502",,"1",,,,
"21.720634000","1502",,"1",,,,
"21.722136000","1502",,,,,,
"21.723638000","1502",,,,,,
"21.725140000","1502",,,,,,
"21.726642000","1502",,,,,,
"22.050091000","74",,,,,,
"22.052680000","1502",,,,,,"1"
"22.055684000","1502",,,,,,"1"
"22.057186000","1502",,,"1",,,
"22.378096000","78",,,,,,
"22.380363000","78",,,,,,
"22.382271000","78",,,,,,
"22.384709000","1502",,"1",,,,
"22.386211000","1502",,,,,,
"22.387713000","1502",,,,,,
"22.714272000","1502",,,,,,
"22.717276000","1502",,"1",,,,
"22.718778000","1502",,,,,,
"22.720280000","1502",,,,,,
"22.723284000","1502",,"1",,,,
"22.726288000","1502",,"1",,,,
"22.727790000","1502",,,,,,
"22.729292000","1502",,,"1",,,
"22.730794000","1502",,"1",,,,
"22.732296000","1502",,,,,,
"23.046274000","1502",,,,,,
"23.047776000","1502",,,,,,
"23.050807000","1502",,,,,,
"23.052309000","1502",,,,,,
"23.053811000","1502",,,,,,"1"
"23.058334000","1502",,,,,,"1"
"23.061294000","1502",,"1",,,,
"23.063238000","1502",,,,,,
"23.066242000","1502",,,,,,
"23.271862000","1502",,,,,,"1"
"23.379822000","1502",,,,,,"1"
"23.387359000","1502",,"1",,,,
"23.388861000","1502",,,,,,
"23.393340000","1502",,,,,,"1"
"23.403862000","1502",,,,,,
"23.603984000","1502",,,,,,
"23.711823000","1502",,,,,,
"23.713325000","1502",,,,,,
"23.720889000","1502",,,,,,
"23.722391000","1502",,,,,,
"23.725341000","1502",,,,,,
"23.735863000","1502",,,,,,
"23.737365000","1502",,,,,,
"23.738867000","1502",,,,,,
"23.740369000","1502",,,,,,
"23.741871000","1502",,,,,,
"23.743373000","1502",,,,,,
"23.744875000","1502",,,,,,
"23.746377000","1502",,,,,,
"23.749381000","1502",,"1",,,,
"23.750883000","1502",,,,,,
"23.937488000","1502",,"1",,,,
"24.043851000","1502",,,,,,"1"
"24.057324000","1502",,,,,,
